Name,Quantity,Measurement,Ingredient
biscuit veggie pot pie,2,c,vegetable broth
biscuit veggie pot pie,1/2,c,milk
biscuit veggie pot pie,2,c,frozen veggies
biscuit veggie pot pie,2,t,dried parsley
protein cheesecake bars,½,c,protein powder
protein cheesecake bars,½,c,almond flour + 1 T butter (optional)
protein cheesecake bars,½,t,baking soda
protein cheesecake bars,½,t,salt
protein cheesecake bars,3,T,butter
protein cheesecake bars,1-2,T,water
protein cheesecake bars,½,c,protein powder
protein cheesecake bars,2,pack,cheesecake pudding mix
protein cheesecake bars,2½,c,milk (soy/almond)
french toast casserole,400g,stale,bread
french toast casserole,1c,applesauce,
french toast casserole,2T,butter,or coconut oil
french toast casserole,1½,c,almond milk
french toast casserole,⅓,c,sugar
french toast casserole,3T,cornstarch,
french toast casserole,1,t,cinnamon
french toast casserole,½,t,nutmeg
french toast casserole,1t,vanilla,
french toast casserole,pinch,of,salt
breakfast casserole,1,can,chickpeas
breakfast casserole,1,bell,pepper
breakfast casserole,1,cup,spinach
breakfast casserole,¾,c,shredded cheese
breakfast casserole,2,blocks,extra firm tofu
breakfast casserole,1,c,+ 2 T flour
breakfast casserole,¼,c,nutritional yeast
breakfast casserole,1,T,soy sauce
breakfast casserole,1,t,thyme
breakfast casserole,1,t,turmeric
breakfast casserole,½,t,pepper
white gravy,5,T,butter
white gravy,1/4,c,flour
white gravy,2,cups,milk
white gravy,1,t,pepper
white gravy,1/2,t,seasoned salt
white gravy,1,can,chickpeas 
poke bowl,1c,brown,rice
poke bowl,2T,rice,vinegar
poke bowl,½,t,salt
poke bowl,¼,t,pepper
poke bowl,2,blocks,extra-firm tofu
poke bowl,¼,c,soy sauce
poke bowl,1t,sriracha,
poke bowl,1t,lime,juice
poke bowl,½,t,ginger
poke bowl,4c,spring,mix
poke bowl,2,medium,carrots
poke bowl,1,cucumber,
poke bowl,2c,red,cabbage
poke bowl,1,avocado,
poke bowl,1,nori,sheet
poke bowl,2T,soy,sauce
poke bowl,1T,rice,vinegar
poke bowl,1T,water,
poke bowl,1T,peanut,butter
poke bowl,½,t,hot sauce
poke bowl,¼,t,ginger
tofu sausage gravy,2,T,soy sauce
tofu sausage gravy,2,T,water
tofu sausage gravy,1,T,nutritional yeast
tofu sausage gravy,¼,t,paprika
tofu sausage gravy,½,t,oregano
tofu sausage gravy,½,t,garlic powder
tofu sausage gravy,1,t,chili powder
tofu sausage gravy,2,T,oil
tofu sausage gravy,19,oz,(extra) firm tofu
tofu sausage gravy,4,T,flour
tofu sausage gravy,1,c,water
tofu sausage gravy,1,c,soy milk
tofu sausage gravy,1,T,butter
tofu sausage gravy,,,salt/pepper
noah stir fry,3,T,soy sauce
noah stir fry,3,T,oyster sauce (or hoisin)
noah stir fry,2,T,rice vinegar
noah stir fry,2,t,maple syrup
noah stir fry,1,T,cornstarch
noah stir fry,2,T,green onion
noah stir fry,1,t,sesame seeds
noah stir fry,1,½,c soba noodles
noah stir fry,1,½,T avocado oil
noah stir fry,1,medium,onion
noah stir fry,2,large,garlic cloves
noah stir fry,1,red,bell pepper
noah stir fry,1,cup,zucchini (half moon)
noah stir fry,1,head,of broccoli
noah stir fry,1,small,carrot
